"","Run","QuarterMileET","AirTemp","Humidity","TrackTemp","VaporPressure","DensityAlt","ClutchBase","ClutchCounter","Spring1Int","Spring1Exh","Spring2Int","Spring2Exh","Spring3Int","Spring3Exh","Spring4Int","Spring4Exh","Spring5Int","Spring5Exh","Spring6Int","Spring6Exh","Spring7Int","Spring7Exh","Spring8Int","Spring8Exh"
"1",1,6.84,77.4,7.38,105,0.699,3318,1.125,28,540,430,580,410,560,430,580,410,530,430,550,410,540,430,560,420
"2",2,6.89,84.6,41.4,119,0.496,2558,2.75,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,6.86,78.2,62.6,101,0.609,2558,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,6.834,83.7,44.4,115,0.517,2558,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,6.796,79.6,30.3,119,0.309,2558,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,6.813,71.4,54.8,107,0.425,2106,1,32,575,420,585,440,580,420,585,420,580,420,570,415,580,420,590,405
"7",7,8.593,61.1,68.2,85,0.37,1348,1,24,580,420,580,420,575,420,580,410,580,420,580,410,570,405,580,400
"8",8,6.83,84.5,50.9,111,0.609,3210,0.5,16,570,410,570,410,570,405,580,410,560,415,570,410,570,400,570,400
"9",9,15.76,75.4,67.4,94,0.598,2683,1,32,560,410,570,410,570,410,570,410,570,410,570,410,560,400,570,400
"10",10,25.11,82.6,30,115,0.337,2776,1,28,560,410,570,410,570,410,570,410,570,410,570,410,560,400,560,400
"11",11,16.854,94.5,38.1,138,0.623,3021,1.125,38,560,410,570,410,570,410,570,410,570,410,570,410,560,400,560,400
"12",12,6.765,89.3,45.1,130,0.615,3021,1.125,38,550,420,560,410,560,410,570,410,560,415,570,405,555,405,550,400
"13",13,6.824,93,44.7,122,0.697,3049,1.125,28,545,410,560,410,550,400,560,400,555,410,570,405,550,400,550,400
"14",14,6.776,94.1,42.9,132,0.693,3167,1.125,30,545,410,560,410,550,400,560,400,555,410,570,405,550,400,550,400
"15",15,8.583,90.8,51.2,129,0.746,3064,0.75,30,545,410,560,410,550,400,560,400,555,410,570,405,550,400,550,400
"16",16,7.02,94.8,38.4,133,0.633,4548,0.75,22,560,440,600,430,580,430,590,430,530,440,580,440,550,430,590,425
"17",17,17.648,90.1,35.7,132,0.509,4300,0.75,22,580,430,600,440,600,440,600,440,560,440,600,440,580,440,600,425
"18",18,13.947,78.7,60.9,119,0.602,3709,0.75,22,570,440,600,430,600,430,600,430,570,440,600,425,570,430,600,425
"19",19,7.55,93.8,33.7,130,0.539,4521,0.75,22,550,425,600,430,600,425,600,430,550,435,600,430,565,420,600,420
"20",20,6.8,76.4,63,104,0.578,2908,1.125,30,540,430,580,410,560,420,570,410,530,425,550,415,530,420,570,410
"21",21,6.742,77,28.8,113,0.269,2398,1.125,32,420,570,440,560,440,570,430,560,440,560,430,560,440,570,410,560
"22",22,6.726,71.9,35.7,102,0.282,2090,1.125,36,420,560,430,560,430,560,440,560,440,550,430,550,430,560,410,560
"23",23,6.717,73.8,39.9,105,0.335,2098,1.125,39,425,560,420,550,430,550,420,550,430,530,425,540,425,550,400,550
"24",24,6.708,73.3,33.6,115,0.278,2013,1.125,36,420,550,420,550,430,540,410,550,430,530,420,530,420,550,410,550
"25",25,6.722,64.1,68.3,85,0.412,1290,1.125,40,410,550,420,550,430,530,420,540,430,530,425,530,420,540,390,540
